project_id,project_name,sector,implementing_agency,state,original_cost,revised_cost,expenditure,expenditure_change_recent,physical_progress,progress_change_recent,original_duration_months,months_elapsed,current_delay_months,overdue_milestones,days_since_last_cuf_update,clearance_pending_days,active_litigation,reasons_for_delay
MOSPI_617321,Godhani-Kalumna Chord 13.7 km,Railways,Ministry of Railways,,150000.0,150000.0,1940.0,0.0,11.0,0.0,121.0,98.5,0.0,0,15,0,False,
MOSPI_705728,Mumbai-Ahmedabad High Speed Rail Project- 508 km,Railways,National High Speed Rail Corporation [NHSRC],,108000.0,108000.0,90966.9,0.0,62.0,1.0,149.0,137.5,28.0,1,15,0,False,
MOSPI_702668,Chennai Metro Rail Phase-II Development Project,Water Resources,Chennai Metro Rail Limited [CMRL],,63246.0,63246.0,47162.7,12464.7,0.0,-5.0,58.4,22.9,0.0,0,15,0,False,
MOSPI_706775,BharatNet,Telecommunications,Department of Telecommunications [DoT],,61109.0,188000.0,48809.7,0.0,100.0,0.0,73.4,109.9,43.0,1,15,0,False,
MOSPI_705237,Western Dedicated Freight Corridor,Railways,DFCCIL,,51101.0,124005.0,124623.0,0.0,96.0,0.0,169.0,222.5,45.0,1,15,0,False,
MOSPI_709798,Ethylene Cracker Project at Bina Refinery including downstream Petrochemical Plants and expansion of Refinery,Petroleum,Bharat Petroleum Corporation Limited [BPCL],,43367.0,43367.0,6104.0,508.0,34.0,3.0,60.5,40.0,0.0,0,15,0,False,
MOSPI_701263,Rajasthan Refinery Project,Power,MinistryofPetroleumNaturalGas,,43129.0,79459.0,69996.7,794.5,92.0,0.0,60.7,107.2,44.0,1,15,0,False,
MOSPI_705429,Rishikesh-Karnaprayag New Rail Line- 125 km,Railways,RVNL - II,,38953.0,38953.0,28828.2,319.3,78.0,4.0,109.7,118.1,36.0,1,15,0,False,
MOSPI_298178,"Meja Thermal Power Project, Stage-II , (3x800 MW)",Power,National Thermal Power Corporation [NTPC],,38358.0,38358.0,1002.73,0.0,0.0,0.0,78.9,3.4,0.0,0,15,0,False,
MOSPI_701289,Capacity Expansion of Panipat Refinery from 15 to 25 MMTPA,Petroleum,Indian Oil Corporation Limited [IOCL],,34627.0,36225.0,28007.3,178.1,94.0,3.0,43.1,66.6,27.0,1,15,0,False,
MOSPI_400120,KG-DWN-98/2 Cluster - II Development Project - NELP Block,Petroleum,Oil and Natural Gas Corporation Limited [ONGC],,34012.0,34012.0,35498.3,2259.8,96.0,0.0,36.0,12.0,72.0,1,15,0,False,
